연번,호선,고유역번호(외부역코드),역명,위도,경도,작성일자
1,IN_1,IN1001,검단호수공원,37.60256,126.688338,
2,IN_1,IN1002,신검단중앙,37.603052,126.698429,
3,IN_1,IN1003,아라,37.594118,126.71301,
4,IN_1,IN1004,계양,37.571539,126.736319,
5,IN_1,IN1005,귤현,37.566362,126.742498,
6,IN_1,IN1006,박촌,37.553525,126.744946,
7,IN_1,IN1007,임학,37.545058,126.738642,
8,IN_1,IN1008,계산,37.543243,126.728436,
9,IN_1,IN1009,경인교대입구,37.538272,126.722603,
10,IN_1,IN1010,작전,37.530271,126.722548,
11,IN_1,IN1011,갈산,37.517124,126.721566,
12,IN_1,IN1012,부평구청,37.508768,126.720547,
13,IN_1,IN1013,부평시장,37.498517,126.722282,
14,IN_1,IN1014,부평,37.490541,126.723437,
15,IN_1,IN1015,동수,37.485409,126.718464,
16,IN_1,IN1016,부평삼거리,37.478267,126.710494,
17,IN_1,IN1017,간석오거리,37.466921,126.707861,
18,IN_1,IN1018,인천시청,37.457615,126.702216,
19,IN_1,IN1019,예술회관,37.449334,126.701221,
20,IN_1,IN1020,인천터미널,37.441917,126.699727,
21,IN_1,IN1021,문학경기장,37.434964,126.698373,
22,IN_1,IN1022,선학,37.426985,126.698872,
23,IN_1,IN1023,신연수,37.418032,126.693853,
24,IN_1,IN1024,원인재,37.412364,126.687893,
25,IN_1,IN1025,동춘,37.404676,126.680835,
26,IN_1,IN1026,동막,37.398173,126.673561,
27,IN_1,IN1027,캠퍼스타운,37.388209,126.662287,
28,IN_1,IN1028,테크노파크,37.382311,126.656355,
29,IN_1,IN1029,지식정보단지,37.378021,126.645412,
30,IN_1,IN1030,인천대입구,37.386239,126.639351,
31,IN_1,IN1031,센트럴파크,37.392833,126.635671,
32,IN_1,IN1032,국제업무지구,37.400464,126.630094,
33,IN_1,IN1033,송도달빛축제공원,37.40517495,126.6270537,
34,IN_2,IN2001,검단오류,37.595162,126.629206,
35,IN_2,IN2002,왕길,37.592191,126.642284,
36,IN_2,IN2003,검단사거리,37.601693,126.656545,
37,IN_2,IN2004,마전,37.597756,126.667195,
38,IN_2,IN2005,완정,37.592867,126.673612,
39,IN_2,IN2006,독정,37.584927,126.676557,
40,IN_2,IN2007,검암,37.568611,126.671221,
41,IN_2,IN2008,검바위,37.561091,126.677529,
42,IN_2,IN2009,아시아드경기장,37.551373,126.677075,
43,IN_2,IN2010,서구청,37.543839,126.676795,
44,IN_2,IN2011,가정(루원시티),37.524805,126.675387,
45,IN_2,IN2012,가정중앙시장,37.517511,126.676784,
46,IN_2,IN2013,석남(거북시장),37.507211,126.676304,
47,IN_2,IN2014,서부여성회관,37.500335,126.675875,
48,IN_2,IN2015,인천가좌,37.493762,126.675465,
49,IN_2,IN2016,가재울,37.484152,126.683883,
50,IN_2,IN2017,주안국가산단,37.473642,126.681702,
51,IN_2,IN2018,주안,37.465517,126.680441,
52,IN_2,IN2019,시민공원,37.458739,126.680091,
53,IN_2,IN2020,석바위시장,37.457659,126.692387,
54,IN_2,IN2021,인천시청,37.456929,126.701523,
55,IN_2,IN2022,석천사거리,37.4569323,126.710383,
56,IN_2,IN2023,모래내시장,37.455842,126.719578,
57,IN_2,IN2024,만수,37.454962,126.731764,
58,IN_2,IN2025,남동구청,37.448179,126.736581,
59,IN_2,IN2026,인천대공원,37.448475,126.753051,
60,IN_2,IN2027,운연,37.437924,126.759409,
